algo,track_id,is_from_likes,genre,score
Моя волна,57997910,True,rap,0.9993314444972903
Моя волна,656485,True,country,0.9856077153449525
Моя волна,17190997,True,allrock,0.9782840310463863
Моя волна,21719115,True,pop,0.9711707884716756
Моя волна,12830191,True,alternative,0.9652757274166665
Моя волна,40008215,True,indie,0.955450648501702
Моя волна,142512511,True,rusrap,0.9512614501928036
Моя волна,6024130,True,rusrock,0.942078394398093
Моя волна,10883410,True,indie,0.9389455393834345
Моя волна,136101915,True,rusrap,0.9367534529130644
Моя волна,42411807,True,foreignbard,0.9362472455229016
Моя волна,5775701,True,rnr,0.929478567679744
Моя волна,143459150,False,rock,0.9289160741525857
Моя волна,18859,True,foreignrap,0.9220404896083283
Моя волна,40351066,True,soundtrack,0.9201203033740818
Моя волна,70473124,True,dnb,0.9200708525641297
Моя волна,143459510,False,alternative,0.9151248107401271
Моя волна,52589306,True,alternative,0.910712967550106
Моя волна,143459309,False,pop,0.910136509778743
Моя волна,45366286,True,latinfolk,0.8991022576829935
Моя волна,143187,True,indie,0.8989721070902821
Моя волна,143459155,False,indie,0.8968239621984628
Моя волна,143459347,False,rusrap,0.8966851197516326
Моя волна,31477414,True,rusrock,0.895883231236414
Моя волна,143459442,False,rusrock,0.8948885551695
Моя волна,17190992,True,allrock,0.8917950128696256
Моя волна,48599305,True,electronics,0.8883064740538219
Моя волна,5649466,True,vocaljazz,0.8847443224168225
Моя волна,143459138,False,alternative,0.8844708795086154
Моя волна,75049870,True,ruspop,0.8748078148730694
Моя волна,121922866,True,rusrap,0.8733789587224078
Моя волна,107983337,True,rusrock,0.8670124719461694
Моя волна,143459234,False,rusrap,0.8585071994030304
Моя волна,44100187,True,indie,0.8571084568236449
Моя волна,143459257,False,alternative,0.8543247808139431
Моя волна,6371637,True,alternative,0.8502911967555822
Моя волна,143459253,False,rusrap,0.8484877955226615
Моя волна,25784430,True,rusrock,0.846191827918625
Моя волна,125338952,True,rusrap,0.8404991109284028
Моя волна,143459453,False,classical,0.8312520111293502
Моя волна,123214891,True,rap,0.8310706836038304
Моя волна,90396137,True,foreignrap,0.8128535299954533
Моя волна,143459388,False,films,0.806016683548777
Моя волна,143459474,False,pop,0.8056227483249825
Моя волна,143459552,False,bigbands,0.8050811035978465
Моя волна,8264,True,bassgenre,0.8049037934925672
Моя волна,128838466,True,pop,0.8031566360135352
Моя волна,3487,True,rnb,0.7899955004306125
Моя волна,29720938,True,rusrap,0.7882103298370653
Моя волна,125996700,True,rusrap,0.7857178976105157
Моя волна,65047362,True,rusbards,0.7849075798813766
Моя волна,14560047,True,postpunk,0.7845829362227139
Моя волна,20479653,True,rock,0.7665471513028868
Моя волна,112872284,True,rusrap,0.763984486887321
Моя волна,143459410,False,alternative,0.7631583496937073
Моя волна,143459558,False,vocaljazz,0.7489306961334707
Моя волна,143459440,False,rusrap,0.7347117296143413
Моя волна,143459594,False,indie,0.6942370621359972
Моя волна,143459263,False,rusrap,0.6492084383451717
Моя волна,143459198,False,indie,0.641231538842925
Моя волна,143459251,False,alternative,0.632158737290675
Моя волна,143459166,False,animated,0.5995296271471368
Моя волна,143459464,False,pop,0.5502685010275062
Моя волна,143459542,False,rock,0.5285750629358781
Моя волна,143459588,False,dance,0.4842298392326871
Моя волна,143459202,False,pop,0.3873548359115754
Моя волна,143459151,False,indie,0.38649225044021424
Моя волна,143459301,False,indie,0.385929210249506
Моя волна,143459296,False,indie,0.3717063378583658
Моя волна,143459458,False,pop,0.36067760552782896
Моя волна,143459351,False,rusrap,0.3247333329529355
Моя волна,143459231,False,rusrap,0.3146294514122261
Моя волна,143459426,False,pop,0.30513672282108084
Моя волна,143459213,False,rock,0.28366413019690734
Моя волна,143459222,False,punk,0.25314301241649007
Моя волна,143459446,False,indie,0.24545950555776025
Моя волна,143459488,False,alternative,0.23794124714366094
Моя волна,143459240,False,bigbands,0.2110683923717379
Моя волна,143459304,False,rusrap,0.20539312923882017
Моя волна,143459475,False,pop,0.20243398707629698
